,Year,Total Income,Total Expenses,Net Income,Total ROI,Acc. Total Income,Acc. Total Expence,Acc. Total Net Income
0,2021,181752.0,2400.0,179352.0,1.036,181752.0,2400.0,179352.0
1,2022,187204.56,2472.0,184732.56,1.037,368956.56,4872.0,364084.56
2,2023,192820.697,2546.16,190274.537,1.038,561777.257,7418.16,554359.097
3,2024,198605.318,2622.545,195982.773,1.039,760382.575,10040.705,750341.87
4,2025,204563.477,2701.221,201862.256,1.04,964946.052,12741.926,952204.126
5,2026,210700.382,2782.258,207918.124,1.041,1175646.433,15524.184,1160122.25
6,2027,217021.393,2865.726,214155.667,1.042,1392667.826,18389.909,1374277.917
7,2028,223532.035,2951.697,220580.338,1.044,1616199.861,21341.607,1594858.255
8,2029,230237.996,3040.248,227197.748,1.045,1846437.857,24381.855,1822056.002
9,2030,237145.136,3131.456,234013.68,1.046,2083582.993,27513.31,2056069.682
10,2031,244259.49,3225.399,241034.09,1.048,2327842.482,30738.71,2297103.773
11,2032,251587.274,3322.161,248265.113,1.049,2579429.757,34060.871,2545368.886
12,2033,259134.893,3421.826,255713.067,1.051,2838564.65,37482.697,2801081.952
13,2034,266908.939,3524.481,263384.459,1.052,3105473.589,41007.178,3064466.411
14,2035,274916.208,3630.215,271285.992,1.054,3380389.797,44637.393,3335752.403
15,2036,283163.694,3739.122,279424.572,1.055,3663553.491,48376.515,3615176.976
16,2037,291658.605,3851.295,287807.309,1.057,3955212.095,52227.811,3902984.285
17,2038,300408.363,3966.834,296441.529,1.059,4255620.458,56194.645,4199425.813
18,2039,309420.614,4085.839,305334.774,1.061,4565041.072,60280.484,4504760.588
19,2040,318703.232,4208.415,314494.818,1.062,4883744.304,64488.899,4819255.405
